N,P,K,ph,moisture,organic_carbon,soil_quality
32,25,29,4.5,59,0.39,Bad
98,41,7,8.06,23,0.42,Bad
43,12,22,7.61,42,0.91,Bad
35,31,54,7.11,15,1.11,Bad
56,51,58,5.02,30,0.28,Bad
14,39,59,6.01,19,0.95,Bad
99,10,42,8.2,41,0.69,Bad
29,49,47,6.97,15,1.03,Bad
15,48,7,6.91,11,0.62,Bad
79,23,52,8.15,48,0.21,Bad
68,22,9,6.74,58,0.88,Bad
73,5,28,6.89,36,1.01,Bad
27,29,58,5.88,65,1.1,Bad
13,31,38,5.99,23,0.77,Bad
26,11,51,7.24,32,0.32,Bad
23,48,52,5.78,48,0.57,Bad
87,46,43,6.74,63,0.98,Bad
22,33,52,5.62,67,0.69,Bad
16,35,28,5.16,30,0.9,Bad
53,48,40,6.32,50,0.2,Bad
24,47,32,5.37,60,0.27,Bad
28,40,52,8.09,39,0.88,Bad
72,23,53,5.71,34,0.49,Bad
44,10,38,6.89,62,0.59,Bad
90,29,20,5.55,33,0.84,Bad
44,35,40,5.53,20,0.31,Bad
28,13,11,5.9,44,1.03,Bad
29,24,22,8.16,64,0.34,Bad
44,14,10,6.07,67,0.93,Bad
41,41,54,7.79,13,0.49,Bad
57,31,32,5.29,46,0.46,Bad
53,17,43,4.69,45,1.02,Bad
33,45,38,7.63,22,0.75,Bad
70,6,55,6.67,18,0.41,Bad
26,54,45,6.51,37,0.2,Bad
80,25,33,5.59,64,1.17,Bad
59,37,8,4.79,55,0.63,Bad
74,28,18,6.43,25,0.6,Bad
41,57,9,7.97,63,0.25,Bad
45,48,29,4.98,15,1.09,Bad
22,46,43,8.22,36,0.34,Bad
79,38,12,5.6,19,0.54,Bad
67,13,19,6.63,32,0.62,Bad
23,6,23,4.77,30,1.01,Bad
46,59,15,6.2,35,0.56,Bad
88,34,24,5.0,54,0.73,Bad
77,26,59,4.69,12,0.63,Bad
49,50,40,8.37,68,0.51,Bad
68,15,22,7.42,52,1.15,Bad
89,59,18,7.38,44,1.0,Bad
25,47,42,4.86,16,0.37,Bad
71,21,29,8.22,36,0.75,Bad
13,40,20,6.38,51,1.0,Bad
54,17,22,7.91,42,0.78,Bad
99,11,5,4.55,13,0.69,Bad
37,20,44,5.69,35,0.27,Bad
75,37,5,8.48,17,0.31,Bad
40,49,5,6.21,29,0.45,Bad
12,5,55,8.05,26,0.71,Bad
17,15,25,5.81,14,1.19,Bad
33,10,29,6.6,58,1.0,Bad
24,24,31,7.92,18,0.31,Bad
52,39,14,6.92,17,0.92,Bad
40,48,54,7.4,16,1.01,Bad
82,41,16,5.42,46,0.61,Bad
54,45,32,5.12,45,0.53,Bad
75,30,53,5.42,64,0.78,Bad
17,16,36,6.47,12,0.72,Bad
80,34,37,7.7,17,0.47,Bad
66,32,12,5.92,14,0.6,Bad
89,31,46,6.76,14,0.74,Bad
39,46,30,7.72,26,0.78,Bad
83,23,46,5.46,56,0.73,Bad
27,9,54,8.03,67,1.05,Bad
78,9,45,8.31,36,0.23,Bad
48,45,6,4.66,49,0.53,Bad
69,31,39,4.74,48,0.95,Bad
52,32,38,4.86,58,0.85,Bad
54,30,10,7.61,21,1.12,Bad
32,31,35,5.26,37,0.79,Bad
78,56,27,7.4,13,0.84,Bad
15,53,16,6.27,61,0.9,Bad
65,46,58,7.85,37,0.39,Bad
13,25,55,7.73,34,0.95,Bad
32,5,32,8.34,67,0.5,Bad
15,58,19,5.5,59,0.62,Bad
41,32,23,5.42,45,0.21,Bad
27,52,16,4.63,51,1.04,Bad
24,19,54,6.14,12,1.15,Bad
49,59,52,6.34,67,0.26,Bad
82,21,6,8.36,40,0.84,Bad
83,30,15,7.82,46,1.16,Bad
93,24,48,5.17,21,0.81,Bad
15,29,41,7.69,64,1.0,Bad
72,17,42,5.21,46,0.32,Bad
76,37,29,4.81,46,0.44,Bad
20,29,47,7.85,13,0.55,Bad
52,12,25,8.4,39,1.18,Bad
26,9,46,4.85,66,0.98,Bad
13,10,40,7.76,47,1.09,Bad
72,27,13,7.94,51,0.69,Bad
77,56,16,4.98,47,0.92,Bad
90,34,14,5.63,36,0.93,Bad
50,18,50,7.43,63,0.77,Bad
92,58,9,7.73,31,1.08,Bad
14,27,37,5.92,10,0.36,Bad
41,15,9,5.14,57,0.26,Bad
95,35,20,7.09,52,0.5,Bad
79,10,41,7.31,47,0.29,Bad
44,15,41,6.51,29,0.26,Bad
31,17,33,5.08,27,0.62,Bad
74,16,22,7.88,15,0.4,Bad
93,58,33,7.08,58,0.99,Good
31,6,10,7.98,21,0.78,Bad
20,57,57,8.23,26,0.56,Bad
86,39,22,7.72,62,0.49,Bad
12,59,36,8.33,31,0.76,Bad
18,40,46,8.32,27,0.63,Bad
69,21,51,6.98,19,0.26,Bad
85,32,35,7.41,33,0.87,Good
96,32,58,7.3,29,0.7,Good
23,26,15,6.98,21,0.48,Bad
27,42,30,4.58,13,0.49,Bad
82,11,32,5.92,51,0.65,Bad
32,19,31,4.9,14,1.03,Bad
83,36,23,5.7,35,0.62,Bad
92,15,49,4.77,45,1.04,Bad
56,28,31,8.18,68,0.62,Bad
78,7,24,6.31,25,1.03,Bad
56,34,7,5.26,14,1.13,Bad
96,10,20,6.84,35,0.22,Bad
39,6,43,5.29,28,0.26,Bad
34,18,48,7.72,65,0.33,Bad
37,45,33,5.72,15,0.32,Bad
34,22,19,5.76,33,0.65,Bad
83,55,34,7.98,40,0.96,Bad
87,48,44,6.74,40,1.16,Good
67,35,59,8.05,62,0.62,Bad
50,17,53,6.15,16,0.89,Bad
34,30,5,5.88,19,0.84,Bad
87,48,33,6.52,48,0.59,Good
57,16,57,4.75,31,0.92,Bad
19,22,34,5.12,23,0.79,Bad
84,13,44,5.38,37,0.96,Bad
20,53,50,7.77,51,0.39,Bad
94,25,36,7.44,61,0.56,Bad
30,52,14,5.27,31,0.87,Bad
95,53,31,5.61,66,0.32,Bad
54,57,55,8.28,41,0.97,Bad
16,44,12,4.84,20,0.33,Bad
90,47,55,6.69,23,0.52,Good
73,28,40,6.59,40,0.44,Bad
73,38,46,7.4,53,0.26,Bad
11,12,59,5.55,13,0.47,Bad
85,48,39,8.24,54,1.11,Bad
51,57,40,6.14,31,0.23,Bad
91,37,52,5.64,63,0.22,Bad
63,27,40,5.85,38,0.9,Bad
84,17,29,5.89,44,0.57,Bad
25,58,24,5.3,22,0.43,Bad
27,57,56,8.21,29,0.71,Bad
68,53,49,5.2,28,0.47,Bad
99,18,57,8.03,24,0.59,Bad
25,18,21,6.12,60,0.92,Bad
15,20,27,5.58,35,0.32,Bad
66,53,29,5.29,69,1.16,Bad
56,42,52,6.52,29,0.24,Bad
57,43,53,7.18,45,1.01,Good
51,30,35,8.09,15,0.92,Bad
85,30,10,7.11,24,0.48,Bad
69,5,39,6.43,13,0.32,Bad
86,36,56,4.63,15,1.05,Bad
13,19,8,8.16,11,0.88,Bad
11,56,44,8.11,45,0.49,Bad
99,25,24,6.01,59,0.22,Bad
68,22,45,4.62,24,1.14,Bad
36,34,58,7.43,21,0.6,Bad
36,17,5,7.67,49,0.38,Bad
88,28,49,6.67,53,1.11,Bad
81,34,30,6.11,50,0.56,Good
16,6,38,7.9,16,0.66,Bad
72,23,59,5.27,31,0.9,Bad
55,51,14,6.26,17,1.02,Bad
72,48,27,4.6,61,0.3,Bad
21,51,55,5.16,51,1.1,Bad
22,29,53,8.26,20,1.13,Bad
52,54,28,6.81,11,0.46,Bad
26,18,17,7.72,39,0.7,Bad
72,10,33,6.45,13,1.06,Bad
90,16,50,7.84,62,0.69,Bad
45,24,31,6.66,34,0.68,Bad
94,27,35,4.52,30,0.82,Bad
17,34,47,8.1,34,0.97,Bad
78,34,14,5.09,18,0.87,Bad
99,42,35,6.3,17,0.83,Bad
89,34,43,6.41,14,0.57,Bad
45,45,14,4.69,55,0.83,Bad
37,34,28,4.71,37,0.3,Bad
56,40,37,7.55,11,0.61,Bad
85,53,18,5.7,30,0.39,Bad
39,38,39,6.14,68,0.74,Bad
32,20,49,6.76,58,0.46,Bad
25,28,38,5.99,17,0.71,Bad
23,18,21,7.6,43,0.98,Bad
83,30,25,8.04,32,0.63,Bad
80,12,36,4.74,24,0.42,Bad
61,18,7,7.04,36,0.42,Bad
46,35,19,5.77,11,1.11,Bad
38,6,12,6.83,37,0.98,Bad
76,52,36,6.44,20,0.24,Bad
24,8,42,5.83,55,1.14,Bad
56,5,30,4.88,30,0.31,Bad
55,59,34,6.74,51,0.85,Good
61,24,13,4.95,41,0.75,Bad
28,18,36,5.12,41,0.25,Bad
86,44,15,8.43,16,0.5,Bad
30,29,26,5.77,31,0.98,Bad
73,29,38,6.84,23,0.51,Bad
46,7,45,5.59,22,0.68,Bad
36,9,22,7.96,30,0.9,Bad
64,42,23,5.63,31,0.27,Bad
38,58,58,5.97,43,1.03,Bad
29,30,22,6.93,19,0.24,Bad
34,44,41,7.98,10,0.46,Bad
79,42,22,7.76,10,0.96,Bad
72,42,16,5.56,33,1.11,Bad
45,8,8,7.82,12,0.96,Bad
11,11,51,7.3,40,0.43,Bad
31,34,47,8.46,52,1.19,Bad
25,34,31,8.24,60,0.61,Bad
27,23,55,6.63,50,0.58,Bad
78,43,9,7.5,22,1.07,Bad
63,39,10,6.78,63,0.27,Bad
39,44,17,6.88,13,0.76,Bad
54,37,27,4.91,61,1.17,Bad
28,37,46,4.51,32,0.3,Bad
96,18,29,4.69,15,0.74,Bad
43,42,50,8.37,43,0.33,Bad
22,14,8,5.01,50,1.09,Bad
52,32,56,4.68,27,0.79,Bad
71,18,59,5.74,65,0.43,Bad
31,40,36,6.85,45,0.51,Bad
61,42,48,8.29,35,0.72,Bad
61,20,19,7.3,42,0.93,Bad
45,25,30,5.61,42,0.69,Bad
82,32,46,8.26,34,0.39,Bad
28,37,15,4.64,61,0.91,Bad
47,10,13,8.42,26,0.32,Bad
79,45,15,4.73,60,1.01,Bad
88,19,6,7.52,12,0.6,Bad
66,48,49,4.68,64,0.85,Bad
29,7,31,8.23,31,0.54,Bad
18,47,58,4.93,65,0.87,Bad
41,51,30,4.7,64,1.09,Bad
13,39,12,8.06,58,0.9,Bad
59,18,25,4.88,44,0.87,Bad
91,6,25,7.69,66,0.96,Bad
14,33,12,7.49,13,0.7,Bad
29,8,5,6.9,68,0.42,Bad
96,30,42,6.01,37,1.02,Good
84,55,17,8.16,68,0.85,Bad
46,16,13,7.98,22,0.51,Bad
31,6,32,6.2,39,0.48,Bad
67,21,10,5.43,56,0.7,Bad
77,39,51,5.59,21,0.41,Bad
53,14,27,5.38,12,1.08,Bad
43,52,52,6.67,30,0.99,Bad
86,26,40,7.97,49,0.51,Bad
51,45,21,7.59,10,0.25,Bad
18,47,13,7.68,27,0.25,Bad
16,25,16,6.29,22,0.5,Bad
77,19,26,5.79,16,0.35,Bad
28,39,55,7.53,22,1.07,Bad
40,52,56,7.67,26,0.62,Bad
44,25,16,7.28,54,0.55,Bad
66,25,58,4.63,41,0.42,Bad
94,25,10,6.86,38,1.04,Bad
70,48,48,5.89,54,0.99,Bad
40,36,13,5.28,39,0.58,Bad
92,59,56,7.28,20,0.37,Bad
62,9,41,5.57,23,1.15,Bad
41,43,57,8.15,62,0.52,Bad
75,13,7,5.69,19,0.97,Bad
68,57,38,6.72,17,0.66,Bad
19,22,12,7.81,40,0.98,Bad
11,25,14,6.11,15,0.68,Bad
75,12,51,7.81,28,1.13,Bad
69,48,45,7.39,64,1.0,Bad
97,56,46,8.18,28,0.46,Bad
26,38,47,5.8,21,0.63,Bad
25,14,13,4.92,62,0.3,Bad
25,55,18,6.22,48,1.1,Bad
55,45,41,7.64,59,0.27,Bad
48,28,31,6.3,67,0.22,Bad
40,44,45,5.55,61,0.7,Bad
97,28,36,4.61,27,0.8,Bad
10,36,8,5.75,64,0.42,Bad
20,37,6,7.35,12,0.77,Bad
94,42,55,5.09,18,1.1,Bad
13,48,37,5.86,68,0.83,Bad
80,55,25,4.58,15,0.66,Bad
35,53,5,7.39,10,0.34,Bad
59,38,48,8.02,51,0.37,Bad
21,15,15,6.77,49,0.68,Bad
90,35,5,4.6,38,0.66,Bad
84,22,50,5.37,64,0.72,Bad
74,27,15,6.25,58,0.71,Bad
56,26,11,6.85,44,0.54,Bad
62,47,6,6.49,44,0.9,Bad
80,22,19,8.16,39,0.41,Bad
11,44,12,8.25,44,1.05,Bad
33,51,58,4.93,48,0.39,Bad
13,45,56,5.05,31,0.62,Bad
28,51,51,5.93,52,0.41,Bad
35,43,30,6.18,37,0.82,Bad
84,24,44,6.84,27,0.68,Bad
49,17,46,7.59,41,0.57,Bad
59,49,55,5.04,14,0.68,Bad
52,5,39,7.71,63,0.62,Bad
84,56,56,6.94,69,1.06,Bad
76,8,50,8.42,43,0.32,Bad
21,28,45,7.1,40,0.99,Bad
76,40,45,7.36,55,0.86,Good
36,40,25,5.28,42,0.55,Bad
63,49,42,7.58,13,1.12,Bad
75,6,12,4.82,23,0.38,Bad
58,32,47,7.13,24,0.51,Good
25,30,36,4.72,69,0.57,Bad
11,27,12,4.96,29,0.85,Bad
69,19,48,4.93,29,1.15,Bad
63,40,14,4.71,58,0.79,Bad
39,31,27,5.78,44,1.06,Bad
93,10,8,8.48,64,1.1,Bad
47,39,52,5.89,13,0.67,Bad
37,43,56,7.54,27,0.67,Bad
34,42,42,5.03,33,0.45,Bad
19,39,34,6.32,36,0.8,Bad
69,40,45,5.24,42,0.32,Bad
51,14,27,5.27,34,0.83,Bad
49,34,9,4.9,14,1.09,Bad
86,57,25,6.23,27,0.96,Bad
51,45,10,4.8,54,0.85,Bad
56,42,53,8.14,55,1.04,Bad
46,33,21,6.29,29,0.93,Bad
89,56,29,7.85,44,0.73,Bad
31,47,28,8.42,64,0.72,Bad
66,43,26,7.21,15,0.31,Bad
93,54,17,8.11,36,0.63,Bad
36,8,21,5.04,37,0.72,Bad
50,9,18,7.82,20,0.67,Bad
89,8,38,5.58,18,0.98,Bad
43,40,30,6.39,61,0.36,Bad
41,49,23,7.09,37,0.99,Bad
99,20,30,8.11,28,0.94,Bad
98,29,7,8.14,48,1.1,Bad
75,18,6,4.87,63,0.57,Bad
21,15,32,5.96,30,0.38,Bad
49,33,6,7.67,40,0.96,Bad
82,38,26,7.31,51,0.79,Bad
85,26,11,4.61,16,0.91,Bad
99,18,8,6.3,46,1.2,Bad
82,28,53,7.82,34,0.39,Bad
19,43,42,7.45,37,0.61,Bad
57,30,43,6.15,45,0.39,Bad
29,47,24,7.44,26,1.06,Bad
48,40,10,6.7,35,0.22,Bad
69,43,13,8.15,37,0.34,Bad
75,20,56,6.85,46,0.45,Bad
74,42,35,6.1,26,0.97,Good
60,36,30,7.95,69,0.83,Bad
45,10,40,4.7,58,0.59,Bad
33,38,30,8.1,26,0.36,Bad
36,12,32,7.29,42,0.52,Bad
11,34,9,8.26,65,0.94,Bad
40,31,55,5.5,43,0.58,Bad
66,11,14,7.28,66,0.66,Bad
87,31,22,7.74,32,0.81,Bad
75,29,19,7.31,39,1.11,Bad
38,50,37,5.34,36,0.45,Bad
24,45,9,5.6,60,0.65,Bad
21,19,41,6.77,18,0.51,Bad
37,29,44,6.29,29,0.67,Bad
93,26,26,7.44,32,0.9,Bad
33,22,26,6.01,56,0.68,Bad
30,16,26,7.94,28,1.03,Bad
19,27,56,6.23,46,0.75,Bad
87,55,19,4.66,54,0.59,Bad
27,49,21,4.57,13,0.98,Bad
97,43,55,7.09,22,0.63,Good
23,29,49,6.66,47,0.72,Bad
43,14,32,6.67,21,1.19,Bad
67,34,26,7.66,18,0.99,Bad
85,14,25,6.0,24,1.06,Bad
31,38,46,8.48,30,0.79,Bad
79,50,21,8.28,24,0.55,Bad
45,17,9,4.55,58,1.19,Bad
54,58,22,8.08,14,0.44,Bad
45,33,21,7.22,14,1.07,Bad
31,42,8,6.51,34,1.11,Bad
87,45,58,6.83,33,1.02,Good
89,49,11,7.87,46,0.31,Bad
70,13,29,8.3,62,1.05,Bad
65,17,41,6.74,40,0.86,Bad
98,41,44,5.23,55,0.88,Bad
42,18,44,7.06,43,0.99,Bad
54,41,47,4.8,50,0.69,Bad
45,13,13,7.04,23,0.47,Bad
29,12,23,7.73,36,0.77,Bad
27,43,55,5.91,56,0.31,Bad
47,44,13,4.78,13,0.87,Bad
76,58,27,7.27,32,0.68,Bad
32,7,35,5.86,67,0.7,Bad
25,59,36,5.5,47,0.39,Bad
68,51,56,7.26,55,0.24,Bad
78,44,35,8.38,14,0.81,Bad
77,37,21,7.48,36,0.86,Bad
30,36,52,6.47,52,0.7,Bad
87,11,43,6.9,62,0.97,Bad
87,23,26,5.07,23,0.76,Bad
79,38,39,7.75,16,1.05,Bad
21,18,34,6.92,55,0.49,Bad
25,54,57,8.36,54,0.44,Bad
90,51,55,8.42,27,0.46,Bad
96,50,44,5.92,41,0.23,Bad
23,23,41,8.45,66,1.1,Bad
70,55,30,8.33,11,1.2,Bad
80,58,10,7.06,50,1.02,Bad
55,30,38,5.83,52,0.61,Bad
41,21,36,7.51,29,0.55,Bad
24,58,29,5.58,38,0.97,Bad
53,32,55,7.02,67,0.71,Bad
26,23,17,4.6,52,1.14,Bad
50,31,42,7.01,35,0.48,Bad
63,52,42,8.31,47,0.52,Bad
53,56,6,5.44,10,1.2,Bad
14,23,9,7.61,14,1.18,Bad
36,37,15,5.67,63,1.09,Bad
96,55,15,7.33,66,0.6,Bad
87,11,28,7.3,23,1.04,Bad
88,33,18,5.24,34,0.48,Bad
52,59,49,6.89,57,0.45,Bad
40,47,34,7.94,18,0.75,Bad
26,9,44,6.03,39,1.06,Bad
92,34,51,7.34,28,0.3,Bad
63,53,48,7.2,61,0.77,Bad
71,47,39,5.53,49,0.81,Bad
96,12,25,8.17,17,0.78,Bad
41,46,59,6.75,25,0.42,Bad
49,16,9,5.92,59,0.26,Bad
22,46,42,5.16,17,1.09,Bad
93,17,6,6.39,32,0.77,Bad
44,30,44,7.42,18,0.97,Bad
14,22,41,6.99,41,0.56,Bad
82,46,58,7.41,46,0.24,Bad
38,55,53,7.67,43,0.46,Bad
79,56,38,6.26,62,0.27,Bad
34,53,15,6.58,55,0.28,Bad
31,24,40,8.45,27,0.41,Bad
75,20,15,8.37,54,0.83,Bad
54,41,13,6.16,53,1.02,Bad
78,7,10,7.24,24,1.02,Bad
98,31,38,5.57,62,1.14,Bad
81,19,51,5.11,24,0.86,Bad
10,38,41,7.57,38,0.22,Bad
93,49,36,6.24,66,0.58,Bad
53,26,16,5.21,32,0.31,Bad
96,44,49,7.54,32,0.98,Bad
84,27,36,8.16,10,0.32,Bad
48,53,21,8.23,66,0.31,Bad
63,8,8,6.89,31,0.23,Bad
97,55,46,6.42,16,1.16,Bad
84,58,37,5.07,54,0.99,Bad
38,45,47,7.67,41,0.53,Bad
63,27,52,8.28,37,0.58,Bad
99,51,47,8.06,59,0.26,Bad
25,13,13,7.51,41,0.36,Bad
29,28,38,4.52,42,0.51,Bad
55,25,43,6.13,52,0.59,Bad
76,45,55,6.14,22,0.82,Good
74,50,34,8.08,61,0.55,Bad
67,59,54,4.76,37,1.15,Bad
62,57,24,6.62,18,0.54,Bad
10,20,43,5.04,66,1.14,Bad
90,59,27,7.15,57,0.93,Bad
75,29,45,7.67,52,1.1,Bad
38,30,48,7.07,12,0.9,Bad
93,53,39,7.68,26,0.77,Bad
79,49,27,6.93,43,0.71,Bad
17,13,58,5.26,41,0.49,Bad
38,19,52,6.03,18,0.5,Bad
60,43,43,8.33,50,0.42,Bad
42,37,27,5.65,57,0.59,Bad
12,5,41,4.75,69,0.33,Bad
69,9,27,6.04,10,0.59,Bad
44,13,43,5.97,66,1.03,Bad
78,48,32,6.38,58,1.07,Good
85,10,23,6.74,51,0.84,Bad
93,32,53,8.47,29,0.46,Bad
29,49,52,7.52,14,0.44,Bad
82,30,34,4.64,49,0.48,Bad
48,32,25,7.35,54,0.7,Bad
13,44,28,7.8,30,1.18,Bad
28,19,25,8.08,14,0.31,Bad
54,10,30,6.2,13,0.7,Bad
52,31,55,5.75,66,0.88,Bad
22,42,54,7.86,17,0.45,Bad
22,8,55,7.61,34,1.17,Bad
69,15,40,6.64,64,0.55,Bad
66,25,30,4.97,16,1.13,Bad
95,34,37,7.11,46,0.8,Good
61,22,40,4.76,51,0.2,Bad
62,39,8,4.9,41,0.51,Bad
95,7,13,5.82,26,0.22,Bad
52,16,12,5.98,37,0.58,Bad
92,31,6,6.35,15,1.13,Bad
81,57,33,5.86,51,0.98,Bad
81,34,27,4.64,57,0.82,Bad
51,25,10,5.13,63,0.74,Bad
99,42,59,4.96,51,0.57,Bad
35,25,47,6.22,45,0.41,Bad
32,42,40,5.35,11,0.26,Bad
52,44,50,5.67,40,0.39,Bad
86,19,25,6.39,10,0.55,Bad
37,22,26,5.44,12,0.72,Bad
18,56,13,5.48,68,0.4,Bad
29,33,38,7.83,22,1.17,Bad
65,52,30,6.69,40,0.28,Bad
92,42,5,7.93,38,0.29,Bad
48,25,40,6.56,66,0.88,Bad
60,21,48,8.14,53,0.96,Bad
21,45,9,5.52,42,1.17,Bad
88,55,45,6.97,62,0.73,Bad
64,22,26,6.51,19,0.37,Bad
87,59,8,8.17,47,1.14,Bad
20,41,52,6.17,18,1.18,Bad
35,42,6,7.92,10,1.12,Bad
51,16,20,6.76,53,1.07,Bad
36,15,20,7.33,46,0.28,Bad
20,52,57,8.05,41,1.05,Bad
47,56,26,8.49,42,1.15,Bad
52,53,47,7.42,11,0.75,Bad
28,24,5,5.76,55,0.97,Bad
73,13,19,5.7,11,0.86,Bad
15,5,28,5.74,68,0.49,Bad
55,7,8,4.89,14,0.79,Bad
51,25,22,4.71,19,1.09,Bad
74,27,21,6.82,61,0.7,Bad
81,13,11,7.74,47,0.79,Bad
68,58,54,4.64,46,0.73,Bad
61,23,49,6.77,11,0.48,Bad
56,49,56,5.99,50,0.84,Bad
16,59,56,8.07,51,0.71,Bad
20,50,14,5.08,49,0.43,Bad
70,56,5,6.75,34,1.1,Bad
77,23,6,8.38,68,1.15,Bad
34,27,53,5.88,47,0.26,Bad
21,31,26,7.47,46,0.82,Bad
35,31,36,8.03,62,0.62,Bad
21,43,33,5.24,27,0.73,Bad
52,40,39,8.47,36,0.57,Bad
60,16,21,7.74,29,0.67,Bad
46,59,16,5.05,59,0.52,Bad
55,31,28,5.74,43,0.32,Bad
62,50,34,7.0,53,0.5,Good
97,38,48,8.04,17,0.87,Bad
89,37,34,5.28,13,0.25,Bad
22,32,24,7.42,69,0.58,Bad
98,35,46,5.58,39,0.24,Bad
63,36,11,7.72,61,0.56,Bad
66,54,46,7.23,64,0.29,Bad
13,24,54,6.59,45,0.54,Bad
84,44,58,7.1,18,1.04,Bad
58,39,42,8.01,50,0.81,Bad
16,35,11,6.05,21,0.88,Bad
20,35,53,7.58,23,0.7,Bad
63,42,34,5.14,44,1.12,Bad
96,26,16,7.3,15,0.74,Bad
54,49,53,7.5,56,0.3,Bad
32,45,35,6.27,32,1.13,Bad
37,13,22,7.67,60,0.33,Bad
66,56,50,6.73,13,1.2,Bad
35,13,47,8.25,10,0.64,Bad
34,19,6,4.95,68,0.27,Bad
63,17,57,5.02,18,1.06,Bad
38,26,37,7.87,64,0.29,Bad
92,20,15,7.87,67,0.37,Bad
45,36,38,6.38,57,0.62,Bad
23,6,20,8.36,64,0.88,Bad
87,30,58,7.22,18,0.32,Bad
44,18,39,8.43,53,0.82,Bad
39,42,56,6.63,55,0.98,Bad
26,38,37,5.31,24,0.32,Bad
76,12,25,6.28,63,0.85,Bad
89,40,24,8.42,33,1.16,Bad
39,25,12,5.98,62,1.17,Bad
54,50,55,8.33,57,0.36,Bad
88,47,30,7.69,17,0.96,Bad
98,32,37,6.27,37,1.05,Good
60,50,30,6.67,51,1.09,Good
56,48,41,6.93,55,0.52,Good
62,52,34,7.16,26,0.47,Bad
73,10,35,4.81,44,0.25,Bad
47,24,37,8.23,40,0.6,Bad
73,35,15,6.89,13,0.32,Bad
96,37,57,8.22,57,0.99,Bad
98,48,45,7.03,23,0.34,Bad
16,11,9,6.22,68,1.02,Bad
31,12,6,6.77,34,0.31,Bad
90,13,17,7.82,65,0.68,Bad
91,6,22,5.8,55,0.58,Bad
50,21,30,8.33,57,0.8,Bad
83,56,29,6.36,49,0.72,Bad
19,49,48,8.32,59,0.8,Bad
66,41,18,8.02,16,0.2,Bad
16,46,9,7.57,40,0.33,Bad
59,48,46,6.37,69,0.72,Bad
61,21,56,6.85,44,0.43,Bad
42,57,6,7.85,47,0.28,Bad
10,42,8,6.68,29,0.42,Bad
62,39,16,7.45,25,0.98,Bad
69,51,15,7.66,31,0.74,Bad
43,43,8,6.55,45,0.39,Bad
13,34,47,6.64,28,0.22,Bad
26,10,13,5.29,11,0.56,Bad
13,8,14,5.48,13,0.56,Bad
52,55,31,8.12,67,0.94,Bad
99,41,10,7.86,43,1.12,Bad
13,39,19,4.54,16,0.57,Bad
10,13,46,7.98,56,0.89,Bad
80,10,35,4.6,58,0.83,Bad
59,17,26,6.33,23,0.62,Bad
82,26,57,4.77,52,0.27,Bad
70,32,10,8.38,41,0.67,Bad
44,34,37,8.39,26,0.55,Bad
17,56,33,6.94,46,0.75,Bad
33,40,25,6.07,64,0.33,Bad
92,6,58,6.55,23,0.92,Bad
45,40,56,7.55,26,0.99,Bad
59,12,34,5.39,41,0.59,Bad
52,49,25,6.27,69,0.38,Bad
36,46,40,7.45,69,0.82,Bad
41,54,59,6.08,61,1.16,Bad
87,13,26,4.63,62,0.9,Bad
27,5,50,6.53,11,0.32,Bad
37,17,24,7.45,48,0.6,Bad
38,54,26,8.41,13,1.12,Bad
25,19,56,4.65,49,0.83,Bad
56,36,44,6.66,39,0.35,Bad
68,38,15,6.3,39,0.92,Bad
40,47,51,5.47,42,0.55,Bad
13,35,35,7.05,51,0.69,Bad
46,18,55,5.15,10,0.62,Bad
26,58,44,5.64,42,0.93,Bad
48,51,17,7.63,45,0.42,Bad
57,18,22,6.34,58,0.59,Bad
55,52,26,8.47,40,0.94,Bad
99,59,21,6.05,46,0.9,Bad
57,33,42,6.35,23,0.4,Bad
48,51,29,5.7,15,0.55,Bad
13,23,36,5.45,16,0.21,Bad
39,31,19,8.19,49,0.73,Bad
39,13,17,7.5,33,0.48,Bad
31,41,30,5.83,59,0.21,Bad
84,41,54,7.3,69,0.62,Bad
75,47,15,8.36,13,1.13,Bad
21,32,17,4.8,64,1.12,Bad
45,56,37,5.56,66,0.57,Bad
27,28,54,5.3,34,0.65,Bad
99,32,41,7.98,68,0.44,Bad
62,40,42,5.22,12,0.27,Bad
80,56,5,5.73,37,0.89,Bad
10,22,43,6.68,32,1.0,Bad
67,29,31,6.98,45,1.08,Bad
99,39,40,7.73,66,1.14,Bad
96,8,36,6.13,64,1.12,Bad
99,18,45,6.64,57,0.23,Bad
15,43,19,8.36,22,1.18,Bad
79,30,35,5.69,31,0.58,Bad
53,12,10,5.49,34,1.09,Bad
81,28,29,7.34,64,0.64,Bad
33,20,53,7.58,52,0.62,Bad
95,24,56,6.16,33,0.21,Bad
28,19,22,5.35,52,0.25,Bad
27,11,26,7.62,46,0.87,Bad
39,21,35,7.18,61,1.14,Bad
51,26,40,8.0,42,0.42,Bad
42,26,13,7.88,23,0.29,Bad
83,58,50,5.32,33,0.41,Bad
21,16,7,7.83,31,0.41,Bad
36,22,37,5.2,61,0.49,Bad
48,50,31,7.95,60,0.29,Bad
18,51,47,7.58,46,0.44,Bad
30,19,5,6.78,61,1.12,Bad
85,41,48,7.07,68,1.09,Bad
38,20,13,4.92,68,0.52,Bad
42,9,9,4.66,32,1.2,Bad
71,6,19,5.82,15,0.5,Bad
24,56,54,7.79,28,0.92,Bad
11,32,13,6.36,21,0.84,Bad
